EV_type,battery_chemistry,usable_battery_size_kWh,range_miles,efficiency_Wh/Mile,AC_charge_rate_kW,DCFC_capable,max_c_rate,pack_voltage_at_peak_power_V
bev250_400kW,LTO,87.5,250,350,10.58,TRUE,3.85,900
bev300_575kW,LTO,142.5,300,475,10.58,TRUE,3.41,900
bev300_400kW,LTO,97.5,300,325,10.58,TRUE,3.46,900
bev250_350kW,NMC,118.75,250,475,10.58,TRUE,2.29,900
bev300_300kW,NMC,97.5,300,325,10.58,TRUE,2.38,900
bev150_150kW,NMC,45,150,300,8.832,TRUE,2.56,900
bev250_ld2_300kW,NMC,87.5,250,350,10.58,TRUE,2.64,900
bev200_ld4_150kW,NMC,95,200,475,8.832,TRUE,1.22,900
bev275_ld1_150kW,NMC,82.5,275,300,8.832,TRUE,1.41,900
bev250_ld1_75kW,NMC,75,250,300,6.072,TRUE,0.76,460
bev150_ld1_50kW,NMC,45,150,300,6.072,TRUE,0.85,460
phev_SUV,NMC,23.75,50,475,8.832,FALSE,-1,-1
phev50,NMC,15.5,50,310,3.016365,FALSE,-1,-1
phev20,NMC,5,20,250,3.016365,FALSE,-1,-1
CargoVan_2,LTO,97.83346313,300,543.82,19.2,TRUE,1.533217727,900
CargoVan_3,LTO,119.3523938,250,691.93,19.2,TRUE,1.256782501,900
Cutaway_2,LTO,97.83346313,300,543.82,19.2,TRUE,1.533217727,900
Cutaway_3,LTO,119.3523938,250,691.93,19.2,TRUE,1.256782501,900
StepVan_3,LTO,139.9401833,300,788.41,19.2,TRUE,1.071886548,900
StepVan_4,LTO,149.1645811,325,820.53,19.2,TRUE,1.005600652,900
StepVan_5,LTO,161.9639632,350,894.93,19.2,TRUE,0.926131943,900
StepVan_6,LTO,174.7633453,350,969.33,19.2,TRUE,0.858303552,900
StraightTruck_3,LTO,124.3406672,300,728.06,19.2,TRUE,1.206363158,900
StraightTruck_4,LTO,132.5367961,300,757.72,19.2,TRUE,1.131761174,900
StraightTruck_5,LTO,143.916964,325,872.06,19.2,TRUE,1.042267679,900
StraightTruck_6,LTO,155.2971319,350,986.39875,19.2,TRUE,0.965890343,900
Type A_1,LTO,89,250,2500,6.6,TRUE,0.14,900
Type A_2,NMC,106,250,2500,15,TRUE,0.13,900
Type A_3,NMC,160,350,2500,19.2,TRUE,0.15,900
Type C_1,LTO,127,300,2500,15,TRUE,0.13,900
Type C_2,NMC,220,450,2500,19.2,TRUE,0.13,900
Type C_3,NMC,220,450,2500,19.2,TRUE,0.33,900
Type C_4,NMC,155.4,350,2500,19.2,TRUE,0.14,900
Type C_5,LTO,321,450,2500,19.2,TRUE,0.5,900
Type D_1,NMC,155.4,350,2500,19.2,TRUE,0.13,900
Type D_2,NMC,220,450,2500,19.2,TRUE,0.14,900
BEB_1000_kWh,LTO,430,475,2150,19.2,TRUE,1.046511628,900
BEB_1500_kWh,LTO,658,475,2350,19.2,TRUE,0.683890578,900
BEB_2000_kWh,LTO,1000,475,2350,19.2,TRUE,0.45,900
Proterra ZX5 + 40-feet,LTO,1500,475,2350,19.2,TRUE,0.3,900
Proterra ZX5 MAX 40-feet,LTO,2000,475,2350,19.2,TRUE,0.225,900
